"","Team","Year","R.G","Playoffs","SO.W","num_batters","AB","BB_own","HBP_own","SH","SF","LOB_own","IP","R_allowed","WHIP"
"721","STL",2001,5.02,TRUE,2.06,0.246913580246914,33.641975308642,3.26543209876543,0.401234567901235,0.512345679012346,0.308641975308642,6.75925925925926,8.85864197530864,4.22222222222222,0.00823456790123457
"722","TBD",2001,4.15,FALSE,1.81,0.283950617283951,34.0987654320988,2.81481481481481,0.333333333333333,0.277777777777778,0.154320987654321,6.81481481481481,8.78518518518518,5.47530864197531,0.00902469135802469
"723","TEX",2001,5.49,FALSE,1.6,0.314814814814815,35.0925925925926,3.38271604938272,0.462962962962963,0.154320987654321,0.339506172839506,7.16666666666667,8.87716049382716,5.97530864197531,0.00972222222222222
"724","TOR",2001,4.73,FALSE,2.12,0.253086419753086,34.9567901234568,2.90123456790123,0.45679012345679,0.209876543209877,0.265432098765432,6.93827160493827,9.02592592592593,4.64814814814815,0.00862345679012346
"725","ANA",2002,5.25,TRUE,1.96,0.246913580246914,35.0493827160494,2.85185185185185,0.45679012345679,0.302469135802469,0.395061728395062,7.19135802469136,8.96358024691358,3.97530864197531,0.00788271604938272
"726","ARI",2002,5.06,TRUE,3.1,0.259259259259259,34,3.96913580246914,0.308641975308642,0.382716049382716,0.327160493827161,7.47530864197531,8.92716049382716,4.16049382716049,0.00760493827160494
"727","ATL",2002,4.4,TRUE,1.91,0.236024844720497,34.1304347826087,3.46583850931677,0.335403726708075,0.416149068322981,0.304347826086957,7.36024844720497,9.11242236024845,3.50931677018634,0.00785714285714286
"728","BAL",2002,4.12,FALSE,1.76,0.283950617283951,33.8950617283951,2.79012345679012,0.395061728395062,0.246913580246914,0.302469135802469,6.40123456790123,8.95185185185185,4.77160493827161,0.00867901234567901
"729","BOS",2002,5.3,FALSE,2.69,0.240740740740741,34.8148148148148,3.3641975308642,0.444444444444444,0.135802469135802,0.327160493827161,7.25308641975309,8.92592592592593,4.10493827160494,0.00754938271604938
"730","CHC",2002,4.36,FALSE,2.2,0.271604938271605,33.9259259259259,3.61111111111111,0.271604938271605,0.481481481481481,0.240740740740741,7.24074074074074,8.89567901234568,4.68518518518519,0.00847530864197531
"731","CHW",2002,5.28,FALSE,1.79,0.216049382716049,33.962962962963,3.42592592592593,0.302469135802469,0.296296296296296,0.327160493827161,6.69753086419753,8.78395061728395,4.92592592592593,0.00845679012345679
"732","CIN",2002,4.38,FALSE,1.78,0.265432098765432,33.7654320987654,3.59876543209877,0.407407407407407,0.58641975308642,0.246913580246914,7.21604938271605,8.97037037037037,4.77777777777778,0.00871604938271605
"733","CLE",2002,4.56,FALSE,1.75,0.364197530864198,33.4753086419753,3.34567901234568,0.345679012345679,0.240740740740741,0.240740740740741,6.58024691358025,8.79135802469136,5.16666666666667,0.00914814814814815
"734","COL",2002,4.8,FALSE,1.58,0.265432098765432,34.0246913580247,3.0679012345679,0.345679012345679,0.302469135802469,0.308641975308642,6.75308641975309,8.8037037037037,5.54320987654321,0.00924074074074074
"735","DET",2002,3.57,FALSE,1.71,0.354037267080745,33.5776397515528,2.25465838509317,0.397515527950311,0.186335403726708,0.354037267080745,6.39130434782609,8.78260869565217,5.36645962732919,0.00903105590062112
"736","FLA",2002,4.31,FALSE,1.75,0.253086419753086,33.9259259259259,3.67283950617284,0.376543209876543,0.364197530864198,0.302469135802469,7.34567901234568,8.98827160493827,4.70987654320988,0.00881481481481482
"737","HOU",2002,4.62,FALSE,2.23,0.253086419753086,33.9691358024691,3.6358024691358,0.364197530864198,0.395061728395062,0.228395061728395,7.26543209876543,8.91975308641975,4.29012345679012,0.00841358024691358
"738","KCR",2002,4.55,FALSE,1.59,0.320987654320988,34.1666666666667,3.23456790123457,0.320987654320988,0.271604938271605,0.314814814814815,6.74074074074074,8.89506172839506,5.5,0.00924691358024691
"739","LAD",2002,4.4,FALSE,2.04,0.253086419753086,34.2839506172839,2.64197530864198,0.327160493827161,0.41358024691358,0.271604938271605,6.70987654320988,8.99506172839506,3.96913580246914,0.00790123456790123
"740","MIL",2002,3.87,FALSE,1.54,0.302469135802469,33.4259259259259,3.08641975308642,0.339506172839506,0.487654320987654,0.209876543209877,6.7037037037037,8.84012345679012,5.0679012345679,0.00919753086419753
"741","MIN",2002,4.77,TRUE,2.34,0.260869565217391,34.6708074534162,2.93167701863354,0.347826086956522,0.211180124223602,0.322981366459627,6.98136645962733,8.97018633540373,4.42236024844721,0.00813664596273292
"742","MON",2002,4.54,FALSE,2.14,0.265432098765432,33.820987654321,3.54938271604938,0.283950617283951,0.666666666666667,0.259259259259259,7.14814814814815,8.96913580246914,4.4320987654321,0.00842592592592593
"743","NYM",2002,4.29,FALSE,2.04,0.298136645962733,34.1366459627329,3.01863354037267,0.391304347826087,0.46583850931677,0.186335403726708,6.90062111801242,8.95776397515528,4.36645962732919,0.00839751552795031
"744","NYY",2002,5.57,TRUE,2.82,0.236024844720497,34.7888198757764,3.97515527950311,0.447204968944099,0.142857142857143,0.254658385093168,7.39751552795031,9.01863354037267,4.32919254658385,0.00788819875776398
"745","OAK",2002,4.94,TRUE,2.15,0.253086419753086,34.3086419753086,3.75925925925926,0.419753086419753,0.123456790123457,0.222222222222222,7.38888888888889,8.96296296296296,4.03703703703704,0.00792592592592593
"746","PHI",2002,4.41,FALSE,1.89,0.242236024844721,34.304347826087,3.97515527950311,0.329192546583851,0.416149068322981,0.242236024844721,7.82608695652174,9.00124223602485,4.49689440993789,0.00836024844720497
"747","PIT",2002,3.98,FALSE,1.61,0.236024844720497,33.1055900621118,3.33540372670807,0.453416149068323,0.422360248447205,0.254658385093168,7.13664596273292,8.77142857142857,4.53416149068323,0.00887577639751553
"748","SDP",2002,4.09,FALSE,1.9,0.364197530864198,34.0432098765432,3.37654320987654,0.185185185185185,0.277777777777778,0.253086419753086,7.14814814814815,8.86481481481481,5.03086419753086,0.00904320987654321
"749","SEA",2002,5.02,FALSE,2.41,0.246913580246914,34.3765432098765,3.88271604938272,0.314814814814815,0.253086419753086,0.444444444444444,7.64814814814815,8.92037037037037,4.31481481481481,0.00795679012345679
"750","SFG",2002,4.83,TRUE,1.9,0.234567901234568,33.9320987654321,3.80246913580247,0.401234567901235,0.419753086419753,0.320987654320988,7.66049382716049,8.87098765432099,3.80246913580247,0.00803703703703704
"751","STL",2002,4.86,TRUE,1.84,0.271604938271605,33.9814814814815,3.34567901234568,0.41358024691358,0.512345679012346,0.302469135802469,7.16049382716049,8.92654320987654,4,0.00811728395061728
"752","TBD",2002,4.18,FALSE,1.49,0.267080745341615,34.8074534161491,2.83229813664596,0.360248447204969,0.273291925465839,0.22360248447205,7.03105590062112,8.94472049689441,5.70186335403727,0.00942857142857143
"753","TEX",2002,5.2,FALSE,1.54,0.314814814814815,34.679012345679,3.41975308641975,0.382716049382716,0.296296296296296,0.308641975308642,7.12962962962963,8.88395061728395,5.44444444444444,0.00941975308641975
"754","TOR",2002,5.02,FALSE,1.68,0.277777777777778,34.4506172839506,3.22222222222222,0.327160493827161,0.104938271604938,0.351851851851852,6.81481481481481,8.87716049382716,5.11111111111111,0.00898765432098765
"755","ANA",2003,4.54,FALSE,2.02,0.265432098765432,33.8703703703704,2.93827160493827,0.345679012345679,0.308641975308642,0.308641975308642,6.7037037037037,8.83395061728395,4.58641975308642,0.00832098765432099
"756","ARI",2003,4.43,FALSE,2.45,0.265432098765432,34.3827160493827,3.27777777777778,0.277777777777778,0.388888888888889,0.320987654320988,7.31481481481481,8.98148148148148,4.22839506172839,0.00808024691358025
"757","ATL",2003,5.6,TRUE,1.79,0.209876543209877,35,3.3641975308642,0.302469135802469,0.401234567901235,0.302469135802469,7.22222222222222,8.98827160493827,4.5679012345679,0.00839506172839506
"758","BAL",2003,4.56,FALSE,1.87,0.257668711656442,34.7546012269939,2.6441717791411,0.331288343558282,0.312883435582822,0.245398773006135,6.87730061349693,8.89079754601227,5.03067484662577,0.0089079754601227
"759","BOS",2003,5.93,TRUE,2.34,0.290123456790123,35.6111111111111,3.82716049382716,0.327160493827161,0.148148148148148,0.395061728395062,7.55555555555556,9.03827160493827,4.99382716049383,0.00838888888888889
"760","CHC",2003,4.47,TRUE,2.28,0.259259259259259,34.0679012345679,3.03703703703704,0.308641975308642,0.493827160493827,0.283950617283951,6.87654320987654,8.98827160493827,4.21604938271605,0.00814197530864198
"761","CHW",2003,4.88,FALSE,2.04,0.246913580246914,33.8703703703704,3.2037037037037,0.358024691358025,0.265432098765432,0.253086419753086,6.62962962962963,8.83333333333333,4.41358024691358,0.00811728395061728
"762","CIN",2003,4.28,FALSE,1.58,0.351851851851852,34.0061728395062,3.23456790123457,0.487654320987654,0.407407407407407,0.197530864197531,7,8.92654320987654,5.46913580246914,0.00925308641975309
"763","CLE",2003,4.31,FALSE,1.88,0.333333333333333,34.3950617283951,2.87654320987654,0.382716049382716,0.283950617283951,0.253086419753086,6.59259259259259,9.00679012345679,4.80246913580247,0.0083641975308642
