"","Tm","year","num_batters","BatAge","R.G","G","PA","AB","R","H","B2","B3","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS_plus","TB","GDP","HBP","SH","SF","IBB","LOB","playoffs"
"667","ATL",2000,47,30.8,5,162,38.7345679012346,33.8827160493827,5,9.19753086419753,1.69135802469136,0.160493827160494,1.10493827160494,4.67901234567901,0.91358024691358,0.345679012345679,3.67283950617284,6.23456790123457,0.271,0.346,0.429,0.775,95,14.5246913580247,0.783950617283951,0.364197530864198,0.537037037037037,0.277777777777778,0.234567901234568,7.35802469135802,TRUE
"668","BAL",2000,50,32.1,4.9,162,38.5061728395062,34.2530864197531,4.90123456790123,9.30864197530864,1.91358024691358,0.135802469135802,1.1358024691358,4.62962962962963,0.777777777777778,0.401234567901235,3.44444444444444,5.55555555555556,0.272,0.341,0.435,0.776,100,14.9012345679012,0.91358024691358,0.302469135802469,0.166666666666667,0.333333333333333,0.209876543209877,6.96913580246914,FALSE
"669","BOS",2000,52,29.3,4.89,162,39.3271604938272,34.7530864197531,4.88888888888889,9.27777777777778,1.95061728395062,0.197530864197531,1.03086419753086,4.66049382716049,0.265432098765432,0.185185185185185,3.7716049382716,6.29012345679012,0.267,0.341,0.423,0.764,90,14.716049382716,0.709876543209877,0.259259259259259,0.246913580246914,0.296296296296296,0.246913580246914,7.5679012345679,FALSE
"670","CHC",2000,51,30.7,4.72,162,39.4876543209877,34.4259259259259,4.71604938271605,8.80246913580247,1.67901234567901,0.141975308641975,1.12962962962963,4.45679012345679,0.574074074074074,0.228395061728395,3.90123456790123,6.91358024691358,0.256,0.335,0.411,0.746,90,14.1543209876543,0.703703703703704,0.333333333333333,0.549382716049383,0.277777777777778,0.308641975308642,7.5,FALSE
"671","CHW",2000,42,27.6,6.04,162,39.5679012345679,34.8518518518519,6.03703703703704,9.96913580246914,2.00617283950617,0.203703703703704,1.33333333333333,5.71604938271605,0.734567901234568,0.259259259259259,3.64814814814815,5.92592592592593,0.286,0.356,0.47,0.826,106,16.3827160493827,0.864197530864197,0.327160493827161,0.339506172839506,0.376543209876543,0.172839506172839,6.95679012345679,TRUE
"672","CIN",2000,45,29.2,5.06,163,39.0981595092025,34.5705521472393,5.06134969325153,9.47852760736196,1.85276073619632,0.220858895705521,1.22699386503067,4.87116564417178,0.613496932515337,0.233128834355828,3.42944785276074,6.10429447852761,0.274,0.343,0.447,0.79,96,15.4539877300613,0.840490797546012,0.392638036809816,0.343558282208589,0.355828220858896,0.368098159509202,7.29447852760736,FALSE
"673","CLE",2000,55,30.1,5.86,162,40.1975308641975,35.0802469135802,5.8641975308642,10.1172839506173,1.91358024691358,0.185185185185185,1.3641975308642,5.48765432098765,0.697530864197531,0.209876543209877,4.22839506172839,6.52469135802469,0.288,0.367,0.47,0.837,110,16.4938271604938,0.827160493827161,0.314814814814815,0.253086419753086,0.320987654320988,0.166666666666667,7.77777777777778,FALSE
"674","COL",2000,49,29.2,5.98,162,39.8333333333333,34.9382716049383,5.97530864197531,10.2716049382716,1.97530864197531,0.327160493827161,0.993827160493827,5.58641975308642,0.808641975308642,0.376543209876543,3.70987654320988,5.59876543209877,0.294,0.362,0.455,0.816,87,15.8827160493827,0.777777777777778,0.259259259259259,0.462962962962963,0.462962962962963,0.395061728395062,7.39506172839506,FALSE
"675","DET",2000,45,29,5.08,162,39.1543209876543,34.8395061728395,5.08024691358025,9.58641975308642,1.89506172839506,0.253086419753086,1.09259259259259,4.84567901234568,0.512345679012346,0.234567901234568,3.46913580246914,6.06172839506173,0.275,0.343,0.438,0.781,102,15.2654320987654,0.876543209876543,0.265432098765432,0.259259259259259,0.302469135802469,0.135802469135802,7.31481481481481,FALSE
"676","FLA",2000,40,26.1,4.54,161,38.527950310559,34.2173913043478,4.54037267080745,8.95031055900621,1.70186335403727,0.180124223602484,0.993788819875776,4.29192546583851,1.04347826086957,0.341614906832298,3.35403726708075,7.35403726708075,0.262,0.331,0.409,0.74,91,13.9937888198758,0.62111801242236,0.372670807453416,0.260869565217391,0.316770186335404,0.242236024844721,7.25465838509317,FALSE
"677","HOU",2000,46,29.1,5.79,162,39.7777777777778,34.3827160493827,5.79012345679012,9.54938271604938,1.78395061728395,0.222222222222222,1.53703703703704,5.55555555555556,0.703703703703704,0.320987654320988,4.15432098765432,6.96913580246914,0.278,0.361,0.477,0.837,104,16.3888888888889,0.950617283950617,0.512345679012346,0.351851851851852,0.376543209876543,0.351851851851852,7.22839506172839,FALSE
"678","KCR",2000,44,27.6,5.43,162,39.4691358024691,35.2407407407407,5.42592592592593,10.1481481481481,1.73456790123457,0.166666666666667,0.925925925925926,5.12962962962963,0.746913580246914,0.216049382716049,3.15432098765432,5.18518518518519,0.288,0.348,0.425,0.773,93,14.9938271604938,0.858024691358025,0.296296296296296,0.345679012345679,0.432098765432099,0.172839506172839,7.30864197530864,FALSE
"679","LAD",2000,46,29.6,4.93,162,38.962962962963,33.8333333333333,4.92592592592593,8.69135802469136,1.6358024691358,0.172839506172839,1.30246913580247,4.66666666666667,0.58641975308642,0.259259259259259,4.12345679012346,6.68518518518519,0.257,0.341,0.431,0.771,99,14.5802469135802,0.796296296296296,0.314814814814815,0.407407407407407,0.283950617283951,0.259259259259259,7.33333333333333,FALSE
"680","MIL",2000,46,28.9,4.54,163,38.9877300613497,34.1288343558282,4.5398773006135,8.38036809815951,1.82208588957055,0.153374233128834,1.08588957055215,4.34355828220859,0.441717791411043,0.269938650306748,3.80368098159509,7.63803680981595,0.246,0.325,0.403,0.729,85,13.7668711656442,0.773006134969325,0.374233128834356,0.374233128834356,0.300613496932515,0.288343558282209,7.25766871165644,FALSE
"681","MIN",2000,41,26.4,4.62,162,38.7839506172839,34.6604938271605,4.61728395061728,9.35802469135803,2.00617283950617,0.302469135802469,0.716049382716049,4.38888888888889,0.555555555555556,0.277777777777778,3.4320987654321,6.30246913580247,0.27,0.337,0.407,0.744,85,14.1172839506173,0.882716049382716,0.216049382716049,0.148148148148148,0.314814814814815,0.191358024691358,7.39506172839506,FALSE
"682","MON",2000,49,26.2,4.56,162,37.9814814814815,34.1666666666667,4.55555555555556,9.10493827160494,1.91358024691358,0.216049382716049,1.09876543209877,4.35185185185185,0.358024691358025,0.296296296296296,2.93827160493827,6.46913580246914,0.266,0.326,0.432,0.758,87,14.7469135802469,0.685185185185185,0.179012345679012,0.481481481481481,0.209876543209877,0.327160493827161,6.79012345679012,FALSE
"683","NYM",2000,47,30.4,4.98,162,39.0617283950617,33.8641975308642,4.98148148148148,8.91975308641975,1.73456790123457,0.123456790123457,1.22222222222222,4.69753086419753,0.407407407407407,0.283950617283951,4.16666666666667,6.40123456790123,0.263,0.346,0.43,0.776,98,14.5679012345679,0.753086419753086,0.277777777777778,0.432098765432099,0.314814814814815,0.259259259259259,7.49382716049383,TRUE
"684","NYY",2000,46,31.3,5.41,161,39.1987577639752,34.5093167701863,5.40993788819876,9.57142857142857,1.82608695652174,0.15527950310559,1.27329192546584,5.17391304347826,0.614906832298137,0.298136645962733,3.91925465838509,6.25465838509317,0.277,0.354,0.45,0.804,103,15.527950310559,0.832298136645963,0.354037267080745,0.0993788819875776,0.31055900621118,0.260869565217391,7.38509316770186,TRUE
"685","OAK",2000,44,27.3,5.88,161,39.9503105590062,34.5341614906832,5.88198757763975,9.32298136645963,1.74534161490683,0.142857142857143,1.48447204968944,5.63975155279503,0.248447204968944,0.093167701863354,4.6583850931677,7.19875776397516,0.27,0.36,0.458,0.817,109,15.8074534161491,0.91304347826087,0.322981366459627,0.161490683229814,0.273291925465839,0.198757763975155,7.51552795031056,TRUE
"686","PHI",2000,51,28.6,4.37,162,38.7222222222222,34.0185185185185,4.37037037037037,8.55555555555556,1.87654320987654,0.246913580246914,0.888888888888889,4.12345679012346,0.62962962962963,0.185185185185185,3.7716049382716,6.89506172839506,0.251,0.329,0.4,0.729,83,13.5925925925926,0.709876543209877,0.271604938271605,0.432098765432099,0.228395061728395,0.246913580246914,7.46296296296296,FALSE
