"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"68","PIT",1977,FALSE,16,18,16,20,22,24,24,23,17,6.5,25,9,10.5,8,11.5,19.5,2,14,22.5
"69","SDP",1977,FALSE,12.5,4,22,11,1,19,12,17,26,24,21,26,10.5,24,2.5,24.5,12.5,25,1
"70","SEA",1977,FALSE,4,7,26,9,5,5,2.5,5,7,19,2,4,25,25,1,12.5,26,21,2
"71","SFG",1977,FALSE,7,8,3,16.5,15,6,6.5,10,13,18,19,16,3.5,12,14.5,16.5,12.5,20,17.5
"72","STL",1977,FALSE,17,12,16,6,7,10,13,20.5,10,13,24,2,10.5,10,16,12.5,9,6.5,14
"73","TEX",1977,FALSE,18,16,9,16.5,21,14,18,8,21,26,11,25,20,5,26,12.5,17.5,10,25
"74","TOR",1977,FALSE,2.5,3,22,9,2,4,9,11,11,20.5,5,6,14,23,5.5,1,1,24,5
"75","ATL",1978,FALSE,4.5,9,21,21,8.5,5,1,13,23,6.5,15,11,25.5,24,9,15.5,25,22,12
"76","BAL",1978,FALSE,13,22,12.5,11,15,14,18,1,22,2,7,20,16.5,10,24,19.5,2,2,11
"77","BOS",1978,FALSE,25,25,21,5.5,17,25,23,20,19,11,10,15,4,12,23,8,21,21,26
"78","CAL",1978,FALSE,17.5,10,21,23.5,16,18,9,3,4,14,8.5,19,2,16,15.5,17.5,16,20,9
"79","CHC",1978,FALSE,14,8,21,11,11,22,8,24,12,18,18,24,5.5,22,9,22.5,17.5,23,9
"80","CHW",1978,FALSE,11,14,21,7,2,9,7,16,1,9,1,5,16.5,23,11,19.5,26,12,5
"81","CIN",1978,FALSE,20.5,21,21,25,19,8,25,7,26,19,21,21,8,20,1.5,25,3,24,6
"82","CLE",1978,FALSE,12,14,5.5,11,6,17,12,21,9,21,4,13,10,21,6,11,11,18,7
"83","DET",1978,FALSE,20.5,20,21,4,8.5,26,5,8,7,5,5,25,24,14,20,2,22,14,18.5
"84","HOU",1978,FALSE,6,4,2,26,20,15,13,19,11,15,20,7,13,8.5,21.5,4,13.5,13,4
"85","KCR",1978,TRUE,24,23,12.5,3,10,19,26,26,2,3.5,12,8,13,8.5,17.5,17.5,20,6,23
"86","LAD",1978,TRUE,22,24,12.5,17.5,23,11,19,2,17,24,23,23,13,1,21.5,22.5,6,4,24
"87","MIL",1978,FALSE,26,26,12.5,1,13,23,22,12,15,20,8.5,17,2,13,25.5,6,23,8,16.5
"88","MIN",1978,FALSE,15,12,5.5,5.5,7,20,20,22.5,5,23,11,26,20.5,17,4.5,9.5,17.5,19,16.5
"89","MON",1978,FALSE,10,14,12.5,8,4.5,21,24,4.5,25,8,19,4,25.5,6,12.5,15.5,12,9,15
"90","NYM",1978,FALSE,7,3,12.5,15,14,10,11,22.5,18,13,17,12,20.5,18.5,4.5,9.5,10,15,3
"91","NYY",1978,TRUE,23,18.5,12.5,17.5,21,24,10,11,6,1,13,14,23,2,19,21,15,5,25
"92","OAK",1978,FALSE,1,2,12.5,11,4.5,1,2,4.5,14,22,6,1,13,18.5,7,13,9,16,13.5
"93","PHI",1978,TRUE,19,18.5,12.5,19,26,13,17,6,21,6.5,25,18,13,3,12.5,13,8,1,20
"94","PIT",1978,FALSE,16,17,5.5,23.5,22,12,16,25,24,10,26,3,8,11,14,24,19,17,21
"95","SDP",1978,FALSE,2,1,2,11,18,3,3,17,20,25,24,22,20.5,5,9,26,1,3,13.5
"96","SEA",1978,FALSE,9,6.5,26,2,1,7,14,10,8,12,3,10,18,26,3,1,24,26,1
"97","SFG",1978,FALSE,8,11,2,20,25,4,15,15,16,26,22,16,5.5,4,25.5,13,4,11,18.5
"98","STL",1978,FALSE,4.5,5,5.5,22,12,6,21,18,10,3.5,16,2,20.5,15,15.5,3,13.5,7,9
"99","TEX",1978,FALSE,17.5,16,12.5,15,24,2,4,9,13,17,14,9,2,7,17.5,7,7,10,22
"100","TOR",1978,FALSE,3,6.5,25,15,3,16,6,14,3,16,2,6,8,25,1.5,5,5,25,2
"101","ATL",1979,FALSE,7,7,13,17.5,16.5,11,7,4,18,11,10,12,21,21,1,17,24,18,12
"102","BAL",1979,TRUE,21,22,13,15,22,8,19,2,23,2,16,9,1,3,23,10,2,1,26
"103","BOS",1979,FALSE,25,26,13,7.5,16.5,23,26,10,7,1,7,7,8.5,15,20.5,9,20,12,23
"104","CAL",1979,TRUE,26,24,13,20.5,8,18.5,10,17.5,21,20,8,19,10,20,19,13.5,18.5,15,5.5
"105","CHC",1979,FALSE,9,13,13,26,24.5,18.5,12.5,17.5,13,18,13.5,16,5,11,9,25,23,19,19
"106","CHW",1979,FALSE,14.5,18,5.5,4,2,14,25,8,5,6,3,6,26,19,20.5,20.5,22,11,16
"107","CIN",1979,TRUE,13,9.5,2,11.5,18,13,20,6,25,9,23,24,6.5,5,17,23,5,6,17
"108","CLE",1979,FALSE,18.5,8,20,15,7,5,4,5,15,15,4,20,6.5,22,12.5,12,7.5,23,8
"109","DET",1979,FALSE,22,20,26,20.5,11,4,6,11,17,4,2,3,19.5,17,3,19,25,9,14
"110","HOU",1979,FALSE,2,1,2,23,23,2,8,21.5,9,24,24,10,22.5,1,26,11,11,2,22
"111","KCR",1979,FALSE,24,23,23.5,3,4,25,23,26,4,5,17,22,17,23,16,7,14.5,21,10.5
"112","LAD",1979,FALSE,14.5,19,2,20.5,10,12,5,1,20,21,19,8,17,13,9,15.5,12.5,13,5.5
"113","MIL",1979,FALSE,23,25,23.5,1,12.5,22,24,15,10,16,11,18,19.5,16,24,3,6,8,15
"114","MIN",1979,FALSE,18.5,12,13,5,19,16.5,17,19,6,26,6,25,13,14,4.5,13.5,3,10,18
"115","MON",1979,FALSE,10,16,5.5,20.5,26,15,21,16,24,14,22,2,8.5,2,25,22,9,7,25
"116","NYM",1979,FALSE,3,4,5.5,17.5,6,20,16,14,16,13,15,14,25,9,6,18,10,25,7
"117","NYY",1979,FALSE,16,15,13,7.5,20,10,9,13,1,3,12,5,24,7,18,20.5,1,4,20
