"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"434","SEA",1991,FALSE,15,11,13,20.5,8,13,21,10.5,4,10,23,19,5,11,17.5,19.5,24.5,19,21
"435","SFG",1991,FALSE,7,10,20,8,10,9,3,23,16,24,24,10.5,12.5,15,20.5,16.5,15,11,4
"436","STL",1991,FALSE,8,3.5,7,2,15,1,8,25.5,6,12,12,1,8,6,1,23.5,24.5,1,12.5
"437","TEX",1991,FALSE,26,26,20,20.5,4.5,26,23,14,22,13,17,23,24,26,13.5,12,22.5,26,5
"438","TOR",1991,TRUE,12,20,7,15.5,18,12,25,22,23,11,14.5,17,19.5,2,4,26,20,13,26
"439","ATL",1992,TRUE,15.5,19,1.5,17,22,10.5,6,25,17,24,22,10,17,1,26,10,2,3,26
"440","BAL",1992,FALSE,19,22,20,7,9.5,12,8,15.5,5,8,21,25,7.5,13,23.5,20,13,17,19
"441","BOS",1992,FALSE,5.5,4,10.5,18,13.5,7,13.5,5,10,12,11,24,7.5,16,16.5,8.5,18.5,15,25
"442","CAL",1992,FALSE,3,1,20,12.5,11,2,2,4,12,10.5,4,1,7.5,17,16.5,11.5,16.5,12,15
"443","CHC",1992,FALSE,4,7.5,10.5,12.5,7.5,23,5,21,4,19.5,15.5,12,12,7,12,7,20,18,21
"444","CHW",1992,FALSE,21,15.5,20,3,5,13,19,15.5,3,7,14,19,1,20,5.5,24,25,21,12
"445","CIN",1992,FALSE,12,14,10.5,26,26,6,24.5,23.5,14,15,25,21,12,6,8,25,4.5,2,19
"446","CLE",1992,FALSE,13,15.5,25.5,10.5,7.5,26,7,8,13,3,11,7,19,22.5,8,17.5,9,25,8.5
"447","DET",1992,FALSE,26,25,25.5,1,1,17,12,1,24,4,6,23,4,25,3.5,6,6,22,1.5
"448","HOU",1992,FALSE,7,6,10.5,20,16,10.5,10,19,22,22,23,16,7.5,14.5,3.5,16,15,20,4
"449","KCR",1992,FALSE,8,7.5,10.5,7,9.5,15,26,22,1,5,1,8,22.5,14.5,12,14.5,16.5,14,19
"450","LAD",1992,FALSE,1,2,1.5,22,15,3,1,12,15,26,2.5,11,2,8.5,25,1,4.5,16,14
"451","MIL",1992,FALSE,22,10.5,20,2,17,16,20.5,13,2,13,8.5,6,4,4.5,16.5,8.5,22,1,24
"452","MIN",1992,FALSE,24,20,10.5,15.5,20.5,22,22,10,7,6,19,22,12,11.5,21.5,23,13,4,23
"453","MON",1992,FALSE,11,9,4,23,20.5,9,16,18,20,21,7,3.5,20.5,2,12,21.5,24,10,22
"454","NYM",1992,FALSE,5.5,3,4,24.5,24,1,13.5,2,19,18,19,5,17,11.5,21.5,4.5,13,7,8.5
"455","NYY",1992,FALSE,20,24,20,9,3,24,24.5,3,16,1.5,17,14,17,22.5,8,14.5,10.5,23,5.5
"456","OAK",1992,TRUE,23,17.5,20,7,4,4,3,8,6,17,11,26,22.5,18,5.5,26,18.5,19,10
"457","PHI",1992,FALSE,17,12,10.5,10.5,6,14,10,15.5,25,14,8.5,17.5,25,21,19.5,4.5,3,6,1.5
"458","PIT",1992,TRUE,18,13,4,4.5,18.5,18,20.5,26,11,23,26,20,20.5,3,23.5,13,7,13,16.5
"459","SDP",1992,FALSE,9,17.5,10.5,20,25,8,10,11,9,19.5,24,2,12,8.5,16.5,17.5,1,8,12
"460","SEA",1992,FALSE,14,23,20,14,2,21,23,8,8,9,13,9,24,26,19.5,2.5,26,26,3
"461","SFG",1992,FALSE,2,5,20,15.5,18.5,5,4,15.5,26,25,19,3.5,15,10,12,2.5,10.5,9,5.5
"462","STL",1992,FALSE,10,10.5,10.5,4.5,23,25,15,23.5,21,16,15.5,13,4,4.5,1.5,19,8,11,12
"463","TEX",1992,FALSE,15.5,21,10.5,24.5,12,20,18,6,23,10.5,2.5,17.5,26,24,1.5,11.5,23,24,7
"464","TOR",1992,TRUE,25,26,20,20,13.5,19,17,20,18,1.5,5,15,12,19,12,21.5,21,5,16.5
"465","ATL",1993,TRUE,19,16,1.5,24,26,12,5.5,11.5,20,19,9,18,1,1,21,19.5,1,1,28
"466","BAL",1993,FALSE,21,20,21,10.5,6.5,10,22,3.5,14,8,17,25,9.5,16,24.5,13,8,9,19
"467","BOS",1993,FALSE,7,11.5,8.5,21,19,8,28,11.5,6,21.5,25,14,4.5,8,21,15.5,21.5,12,27
"468","CAL",1993,FALSE,6,3,21,5,4.5,1,9,3.5,14,9,2.5,4,25.5,19,13,10.5,26,13,17
"469","CHC",1993,FALSE,15.5,21,14.5,10.5,21,23,8,15,12,15,23,10,7,10,8,27,13,4,7
"470","CHW",1993,TRUE,20,19,8.5,17,13,6,2.5,25,1,18,17,13,15,5,26,22,10,8,24.5
"471","CIN",1993,FALSE,12,13,21,22,23,13.5,11.5,9,23,13.5,5,9,25.5,21,16.5,8,16,14,4
"472","CLE",1993,FALSE,22,17.5,26,8,2.5,26,14,13.5,2,4,20.5,11,28,24,5.5,17.5,9,26,8
"473","COL",1993,FALSE,17.5,22,26,13,2.5,13.5,19,28,19,17,4,1,27,28,2,5,11.5,28,3
"474","DET",1993,FALSE,28,26,28,3.5,4.5,27,20,22,28,3,13.5,28,20,26,21,6.5,21.5,24,5.5
"475","FLA",1993,FALSE,1,1,8.5,15,8,5,1,13.5,27,11,2.5,20,9.5,9,5.5,22,3.5,18,17
"476","HOU",1993,FALSE,11,17.5,4,26,27.5,4,23,20.5,11,23,22,8,4.5,2,28,13,11.5,3,23
"477","KCR",1993,FALSE,3.5,14,4,19.5,15,15,24.5,18,17,7,13.5,5.5,15,7,13,22,16,5,24.5
"478","LAD",1993,FALSE,3.5,4,1.5,24,20,22,4,9,18,28,11,17,2,4,24.5,6.5,6.5,21,22
"479","MIL",1993,FALSE,14,2,21,2,6.5,16,7,6,16,10,17,7,12.5,22,10,2,27,22,10
"480","MIN",1993,FALSE,8,5,14.5,10.5,16,24,11.5,7,3,2,1,12,4.5,25,5.5,15.5,18,23,5.5
"481","MON",1993,FALSE,13,6,4,14,17.5,3,16,19,4,26,24,16,18,6,2,28,20,7,26
"482","NYM",1993,FALSE,2,8,14.5,6.5,24,2,2.5,20.5,7,25,6.5,2,12.5,14.5,21,1,24.5,6,14
"483","NYY",1993,FALSE,24,27,26,10.5,9,25,24.5,3.5,10,1,10,26,20,18,16.5,9,2,11,10
"484","OAK",1993,FALSE,10,10,21,6.5,1,17,10,1,25,5.5,8,22,20,27,5.5,13,23,27,1
"485","PHI",1993,TRUE,27,23,8.5,28,22,28,26,27,26,24,26,27,15,12,27,19.5,6.5,25,15
"486","PIT",1993,FALSE,9,9,21,3.5,13,18,15,26,21,20,13.5,23,23,23,16.5,4,19,16,2
"487","SDP",1993,FALSE,5,7,14.5,17,13,9,5.5,9,24,21.5,6.5,5.5,23,20,10,3,5,19,12.5
"488","SEA",1993,FALSE,15.5,15,8.5,27,17.5,7,18,3.5,9,13.5,27,24,23,11,21,10.5,28,17,20
"489","SFG",1993,FALSE,23,24,21,19.5,27.5,20,17,16,14,27,28,15,9.5,3,10,24.5,24.5,2,21
"490","STL",1993,FALSE,17.5,11.5,14.5,1,25,19,13,17,8,12,13.5,19,9.5,14.5,2,26,14,10,10
"491","TEX",1993,FALSE,25,25,14.5,17,11,11,21,23,22,16,19,3,17,17,13,17.5,16,15,12.5
"492","TOR",1993,TRUE,26,28,8.5,24,10,21,27,24,5,5.5,20.5,21,4.5,13,16.5,24.5,3.5,20,17
"493","ATL",1994,FALSE,11,17,1,28,26,2,12,4,7,25,16.5,2,2,1,24.5,11.5,5,1,26.5
"494","BAL",1994,FALSE,21.5,20,23.5,12,20,16,8,9,6,1,3,23,6,10,22,26,8,4,25
"495","BOS",1994,FALSE,13,14,12,18,9,12,22,7,19,11,18,14,28,22.5,5.5,21,13,22,16
"496","CAL",1994,FALSE,10,10,25.5,12,6,13,4,2,16,13.5,4,8,16,25,17,4,27,24,4
"497","CHC",1994,FALSE,5,8,19,16.5,17.5,20,9,17,26,23,6.5,13,19.5,14,9,15,2,18,9
"498","CHW",1994,FALSE,25,22,12,22,22,23,5,28,1,20,25,27,3,8,28,3,1,5,28
"499","CIN",1994,FALSE,23,24,12,23,27,22,17.5,25,22,21,27,12,7,3,10,14,9,7,22
"500","CLE",1994,FALSE,28,28,3,10,10.5,28,26,8,2,9,19.5,4,26,17,27,5,26,25,20
"501","COL",1994,FALSE,15,21,12,14.5,7.5,10,14,27,24,16,11,6,14,21,3,16,28,23,8
"502","DET",1994,FALSE,26,26,25.5,1.5,1,14.5,20,15.5,28,2,8,21,16,26,5.5,1,7,26,5
"503","FLA",1994,FALSE,1,4,19,8,4,7,7,14,23,13.5,5,24,22.5,15,17,21,24,16,11
"504","HOU",1994,FALSE,20,23,6.5,19.5,23,14.5,28,15.5,17,28,28,18,1,6,17,17.5,19,8,13.5
"505","KCR",1994,FALSE,17,13,3,16.5,17.5,5,17.5,26,14,8,2,1,4.5,11,17,27,17,10,24
"506","LAD",1994,FALSE,9,11.5,3,19.5,24,11,2,21,13,19,12,7,8.5,9,24.5,2,18,6,10
"507","MIL",1994,FALSE,12,9,19,1.5,2,18,23,10,9,6,10,16,4.5,18,5.5,7,12,19,21
"508","MIN",1994,FALSE,21.5,16,27.5,3,5,25,25,13,3,3,6.5,10,10,28,12.5,19,14,27,2
"509","MON",1994,FALSE,19,18,6.5,24.5,28,26,27,23,8,22,16.5,25,8.5,2,11,28,23,2,26.5
"510","NYM",1994,FALSE,6,3,12,4.5,21,9,3,11,27,24,19.5,3,19.5,12,12.5,25,3.5,13,17
"511","NYY",1994,FALSE,27,27,19,8,10.5,27,24,3,5,5,14,28,13,13,1.5,23,3.5,17,19
"512","OAK",1994,FALSE,14,5,19,21,3,6,6,1,12,4,1,11,24,20,20.5,8,20,14,6
"513","PHI",1994,FALSE,7,2,6.5,14.5,19,8,15,20,15,18,22,19,22.5,4,5.5,21,10,12,23
"514","PIT",1994,FALSE,2.5,1,12,8,14.5,3,12,12,20,10,9,17,18,19,8,9,25,11,7
"515","SDP",1994,FALSE,2.5,6,6.5,27,25,21,10,6,25,27,23,22,21,7,14,13,6,9,15
"516","SEA",1994,FALSE,18,25,12,24.5,7.5,19,21,5,4,17,21,9,25,24,26,6,11,20,12
"517","SFG",1994,FALSE,4,7,19,6,14.5,1,1,24,18,26,24,5,11.5,5,1.5,24,21,3,13.5
"518","STL",1994,FALSE,8,11.5,23.5,4.5,16,4,19,18,10,15,26,20,16,22.5,17,17.5,22,15,1
"519","TEX",1994,FALSE,24,19,27.5,12,12.5,24,12,19,21,12,15,26,27,27,20.5,11.5,16,28,3
"520","TOR",1994,FALSE,16,15,19,26,12.5,17,16,22,11,7,13,15,11.5,16,23,10,15,21,18
"521","ATL",1995,TRUE,8,14,1,28,28,2,2,11.5,19,16.5,12,4,6,1,26,9.5,3,2,27.5
"522","BAL",1995,FALSE,17,20,21.5,20,13,3,7.5,11.5,4,8,10,13,20.5,7,27,3.5,8.5,1,25.5
"523","BOS",1995,TRUE,25.5,26,6.5,10.5,19,22,28,17.5,17,10,13.5,24,26.5,18,8.5,22,17,14,25.5
"524","CAL",1995,FALSE,27,24.5,21.5,14.5,18,20,15.5,9,10,5,15,20,2.5,15,13,24,14,10,18
"525","CHC",1995,FALSE,15,21,21.5,18,14,18,21,26,22,23,22.5,1,11,10,21,27,4,18,10
"526","CHW",1995,FALSE,23,22,21.5,10.5,4,25,15.5,25,1,11,26,27,25,22,6,14,11,21,6
"527","CIN",1995,TRUE,21.5,23,6.5,14.5,23,5.5,25,23.5,21,19,17,6,23,5,8.5,18.5,1,3,14
"528","CLE",1995,TRUE,28,28,6.5,18,22,26,27,5,2,3,16,11.5,6,2,21,28,15.5,8,27.5
"529","COL",1995,TRUE,24,27,21.5,10.5,11,21,17,28,20,27,24,9.5,6,26,1.5,26,13,24,24
"530","DET",1995,FALSE,10,10.5,26.5,2,2,4,5.5,14,24,7,5,9.5,17,27,4,18.5,15.5,28,4
"531","FLA",1995,FALSE,13,12,14,23,12,11,3,15,16,22,11,17,28,14,25,5,18,19,11
"532","HOU",1995,FALSE,21.5,7,2,24,27,28,18,4,25,25,28,28,1,12,21,7,21,22,7
"533","KCR",1995,FALSE,4.5,4.5,14,3,6,5.5,11,23.5,6,20,8,11.5,11,16,17,16.5,10,12,23
"534","LAD",1995,TRUE,6,8.5,6.5,26,26,13,1,17.5,27,21,22.5,21.5,11,3,28,16.5,8.5,5,16.5
"535","MIL",1995,FALSE,19,14,14,1,1,23,14,27,3,9,1,8,17,21,1.5,6,20,25,16.5
"536","MIN",1995,FALSE,16,17,28,4.5,5,24,22,21.5,15,1,7,14,17,28,8.5,2,6.5,26,2
"537","MON",1995,FALSE,3,3,6.5,21,25,7,20,6.5,12,18,18,3,11,6,23.5,25,28,7,22
"538","NYM",1995,FALSE,11,8.5,6.5,14.5,24,16,4,21.5,26,28,19,18,17,4,4,15,5,6,19
"539","NYY",1995,TRUE,20,18.5,21.5,18,10,8,26,20,5,2,9,26,2.5,13,13,12,2,11,13
"540","OAK",1995,FALSE,18,18.5,21.5,14.5,8,10,5.5,1,14,4,2,21.5,20.5,23,8.5,9.5,24,15,3
"541","PHI",1995,FALSE,2,2,6.5,22,16,14.5,19,16,11,24,13.5,25,26.5,8,17,23,25,13,12
"542","PIT",1995,FALSE,4.5,4.5,6.5,8,17,12,12,11.5,23,14,20.5,7,11,20,17,3.5,27,16,5
"543","SDP",1995,FALSE,12,6,14,25,21,14.5,9,3,8,16.5,20.5,5,6,11,23.5,13,22.5,9,9
"544","SEA",1995,TRUE,25.5,24.5,14,27,15,17,23,2,7,15,25,15,22,17,13,21,19,23,21
"545","SFG",1995,FALSE,9,10.5,26.5,4.5,7,19,7.5,19,28,26,27,19,24,24,4,9.5,26,20,1
"546","STL",1995,FALSE,1,1,14,7,20,1,10,8,18,12,6,2,14,9,11,20,12,4,15
"547","TEX",1995,FALSE,14,16,21.5,6,9,9,13,6.5,9,13,4,16,17,19,17,9.5,6.5,17,20
"548","TOR",1995,FALSE,7,14,14,10.5,3,27,24,11.5,13,6,3,23,6,25,17,1,22.5,27,8
"549","ATL",1996,TRUE,13.5,18,1.5,28,28,14,8,10.5,12,20,8,11,6.5,1,13.5,23,1,2,28
"550","BAL",1996,TRUE,25,25.5,22.5,13.5,12.5,19,20,12,3,2,14,10,18,20,1,22,6,23,7
"551","BOS",1996,FALSE,24,23,15,24,6,28,23,15.5,11,4,16,27,19.5,25,13.5,11.5,15.5,27,15.5
"552","CAL",1996,FALSE,10.5,17,25.5,19.5,5,27,6,8,7,11,7,22,28,26,18.5,13,28,25,5
"553","CHC",1996,FALSE,13.5,7,15,10.5,17.5,8,9.5,1,19,17,13,2,3.5,7,25.5,4,18,7,14
"554","CHW",1996,FALSE,22,21,15,13.5,10.5,18,13,19,4,15,28,23,16.5,15,4,20,4.5,22,18
"555","CIN",1996,FALSE,16,15,9,21,15,1,7,22,25,21,12,6,22,8,25.5,27.5,10,9,12.5
"556","CLE",1996,TRUE,26,27,15,13.5,22,26,27,6,1,5,10,24,9,9,18.5,24,8,10,26
"557","COL",1996,FALSE,27,25.5,22.5,4,4,12,18,23,22,27,6,4,15,27,4,4,25,21,4
"558","DET",1996,FALSE,17,13.5,27.5,5.5,1,7,5,4,28,13,2,1,27,28,21,1,27,28,1
"559","FLA",1996,FALSE,2,4,1.5,17,14,2,2,14,24,8.5,18,13,19.5,5,21,14.5,21.5,4,17
"560","HOU",1996,FALSE,8,5,9,24,23,6,18,13,14,19,27,14,16.5,14,13.5,8,26,19,3
"561","KCR",1996,FALSE,6,6,15,3,20,11,15,24,5,18,5,8,11,16,28,10,20,13,22
"562","LAD",1996,TRUE,3,1,3.5,26,25,10,1,19,27,23,23.5,5,1,2,21,26,7,6,24
"563","MIL",1996,FALSE,21,20,22.5,1,2,21,22,26,8,10,3,18.5,22,21,4,16.5,21.5,24,15.5
"564","MIN",1996,FALSE,20,16,27.5,5.5,7.5,24,26,27.5,6,1,9,17,6.5,22.5,13.5,2,9,18,11
"565","MON",1996,FALSE,4,9,5.5,27,27,5,18,9,17,26,15,7,6.5,3,13.5,20,19,1,27
"566","NYM",1996,FALSE,5,12,9,8.5,17.5,15,9.5,27.5,16,24,20,9,3.5,10,13.5,14.5,12,11,9.5
"567","NYY",1996,TRUE,19,19,5.5,22,16,16,16,10.5,2,8.5,21,28,22,11,7.5,27.5,14,12,21
"568","OAK",1996,FALSE,18,22,22.5,2,3,17,12,4,23,6,4,15,13,22.5,13.5,4,17,26,12.5
"569","PHI",1996,FALSE,1,2,9,19.5,21,3,4,25,20,14,19,20,24.5,13,13.5,16.5,2.5,3,9.5
"570","PIT",1996,FALSE,15,10.5,15,17,24,22,24,19,9,22,11,16,24.5,18,7.5,11.5,15.5,17,6
"571","SDP",1996,TRUE,12,8,3.5,24,26,20,14,7,10,16,25.5,21,10,4,4,25,13,14,20
"572","SEA",1996,FALSE,28,28,25.5,10.5,7.5,25,28,2,15,12,22,26,26,24,9,6,23,20,8
"573","SFG",1996,FALSE,7,3,19.5,8.5,12.5,9,3,4,26,25,25.5,18.5,13,19,4,8,24,16,2
"574","STL",1996,TRUE,9,10.5,15,17,19,4,11,15.5,18,28,23.5,3,6.5,6,25.5,20,2.5,5,19
"575","TEX",1996,TRUE,23,24,9,7,9,23,25,17,13,3,17,25,2,12,23,18,11,15,25
"576","TOR",1996,FALSE,10.5,13.5,19.5,13.5,10.5,13,21,21,21,7,1,12,13,17,25.5,8,4.5,8,23
"577","ANA",1997,FALSE,23,16,25,12,6,23,17,7,3,7,10.5,22,13.5,16.5,16,14,15,23,18.5
"578","ATL",1997,TRUE,19,21,1,24,28,15,6.5,20.5,24,26.5,19.5,17,2.5,1,27,7.5,2,1,28
"579","BAL",1997,TRUE,22,22,11,18,19.5,17,4,3,2,9.5,18,20,2.5,5,22.5,28,1,8,25
"580","BOS",1997,FALSE,24,25,6.5,7.5,3,28,28,14.5,10,2,24.5,25,25,24,16,17,27,27,8.5
"581","CHC",1997,FALSE,5,5.5,25,15.5,12,8,9.5,22.5,7,26.5,15,3,13.5,12.5,9.5,7.5,8.5,11,8.5
"582","CHW",1997,FALSE,17,17,17.5,7.5,4,13,3,13,1,11,17,14,19,23,7.5,27,3,20,5
"583","CIN",1997,FALSE,1,2.5,17.5,22.5,22,6,9.5,8.5,18,24,8.5,10,25,14,2.5,24.5,28,15,10
"584","CLE",1997,TRUE,25,26,17.5,12,9,19,21,4,5,8,13,19,17.5,19,7.5,16,13,19,12
"585","COL",1997,FALSE,27,27,25,1,2,20,9.5,25,11,21,8.5,7,21,27,16,11,26,25,11
"586","DET",1997,FALSE,17,15,17.5,7.5,7.5,5,6.5,14.5,26,4.5,10.5,1,8.5,15,24,19,8.5,13,14.5
"587","FLA",1997,TRUE,9,4,3,25,14,1,12,11.5,13,19,26,27,8.5,4,22.5,14,21.5,10,20
"588","HOU",1997,TRUE,14.5,8,3,18,25,9,25,25,16,22.5,27,25,5,3,25.5,7.5,14,4,23
"589","KCR",1997,FALSE,11,11.5,25,5,10.5,24,2,19,12,14,7,18,27,20,11,1,16,22,13
"590","LAD",1997,FALSE,10,18,11,27,26,16,1,16,14,28,21,6,1,2,5.5,22.5,10.5,6,21
"591","MIL",1997,FALSE,4,7,17.5,10,15,4,20,10,6,12,4,8,17.5,11,21,21,20,3,24
"592","MIN",1997,FALSE,13,13,25,2,13,25,22,25,21,1,5.5,15,5,25,16,2,4,14,4
"593","MON",1997,FALSE,7,20,6.5,20.5,21,14,27,17,15,20,15,2,13.5,10,28,7.5,21.5,5,14.5
"594","NYM",1997,FALSE,14.5,10,11,7.5,17,11.5,13.5,11.5,8,15.5,19.5,4,13.5,9,16,24.5,12,7,18.5
"595","NYY",1997,TRUE,26,23,6.5,20.5,24,27,26,5.5,4,4.5,22,28,5,6,16,26,10.5,16,27
"596","OAK",1997,FALSE,12,19,25,4,1,18,13.5,5.5,27,13,1,25,28,28,2.5,11,23.5,28,2
"597","PHI",1997,FALSE,3,1,17.5,28,18,2,18,18,9,22.5,5.5,13,21,22,16,5,17,12,3
"598","PIT",1997,FALSE,8,9,6.5,15.5,16,10,19,28,25,25,3,16,13.5,12.5,9.5,18,23.5,18,16
"599","SDP",1997,FALSE,20,11.5,17.5,14,7.5,21,15.5,1,22,17,15,23,13.5,26,2.5,20,19,26,1
"600","SEA",1997,TRUE,28,28,25,26,19.5,22,24,2,17,9.5,23,11.5,23,21,16,11,25,24,6.5
"601","SFG",1997,TRUE,17,14,11,12,10.5,7,5,20.5,20,18,28,21,21,16.5,16,22.5,6.5,17,6.5
"602","STL",1997,FALSE,6,5.5,3,18,23,11.5,9.5,22.5,28,15.5,24.5,9,25,8,2.5,14,18,9,22
"603","TEX",1997,FALSE,21,24,17.5,3,5,26,23,8.5,19,3,12,11.5,8.5,18,5.5,3,5,21,17
"604","TOR",1997,FALSE,2,2.5,11,22.5,27,3,15.5,27,23,6,2,5,8.5,7,25.5,4,6.5,2,26
"605","ANA",1998,FALSE,15,15.5,10.5,19,6,23,23.5,8.5,7,13,12,21,7.5,15.5,5.5,27,10,21,19.5
"606","ARI",1998,FALSE,4,6,26.5,1.5,11,7,2,30,30,11,14.5,5,29.5,20.5,10.5,7.5,4,4.5,3
"607","ATL",1998,TRUE,21,25,1,30,30,4,19,7,17,23,21,11.5,7.5,1,30,19,2,1,30
"608","BAL",1998,FALSE,19,22,18.5,17.5,18,16,21,1,1,10,9.5,24,20,18,21.5,7.5,9,11,10.5
"609","BOS",1998,TRUE,28,29,18.5,13,20,19,30,23,11.5,5,14.5,13,25,8,10.5,28,15,3,27
"610","CHC",1998,TRUE,21,18,18.5,28,22.5,20,3,21,29,20,26,15,28,17,23.5,29,11,29,14
"611","CHW",1998,FALSE,25,21,30,1.5,2.5,12,13,27,2,7,17,4,11.5,29,2.5,13,16.5,23,2
"612","CIN",1998,FALSE,14,13,18.5,20.5,13.5,8,20,10.5,22.5,25,22,22,27,12,16.5,14.5,14,9,15
"613","CLE",1998,TRUE,24,23.5,18.5,13,10,21,29,15.5,16,3,19,18,25,14,16.5,24.5,27,27,21
"614","COL",1998,FALSE,21,27,18.5,6.5,5,24,28,25,4,30,8,9,7.5,23,10.5,6,26,14,18
"615","DET",1998,FALSE,11,15.5,26.5,4.5,4,29,22,13,18,1,5,7,13.5,24,16.5,4.5,3,22,10.5
"616","FLA",1998,FALSE,5,1,18.5,9.5,1,14,8,25,24,22,9.5,8,20,30,2.5,1,22,30,1
"617","HOU",1998,TRUE,27,19,5,26,29,25.5,27,10.5,25.5,16.5,27,29,4,2,28,18,5,12,29
"618","KCR",1998,FALSE,10,12,26.5,9.5,9,17,7,28,5,12,4,10,22,28,20,22,23.5,28,4
"619","LAD",1998,FALSE,6,4,2,26,19,2,1,8.5,14,29,12,2,29.5,6,27,24.5,19.5,7,19.5
"620","MIL",1998,FALSE,7.5,10,26.5,15.5,15,10,4,3,9,18,20,11.5,25,20.5,2.5,10,25,20,5
"621","MIN",1998,FALSE,12,5,18.5,4.5,21,25.5,10,19,3,2,16,14,3,22,5.5,14.5,6,18,17
"622","MON",1998,FALSE,2,7.5,10.5,13,12,1,9,19,15,27,12,1,7.5,15.5,2.5,10,21,10,10.5
"623","NYM",1998,FALSE,7.5,7.5,5,22,24,9,12,5,11.5,28,29,26,13.5,4,16.5,20.5,28.5,6,26
"624","NYY",1998,TRUE,30,26,10.5,17.5,27,27,14,17,6,4,18,28,7.5,5,29,26,28.5,2,28
"625","OAK",1998,FALSE,16,11,18.5,3,7.5,5.5,18,2,25.5,16.5,2,17,7.5,26,16.5,10,19.5,16,7
"626","PHI",1998,FALSE,9,9,26.5,24,25,22,11,25,20,19,25,19.5,17,19,16.5,4.5,18,24,8
"627","PIT",1998,FALSE,3,2,5,20.5,22.5,3,6,22,13,24,1,3,1.5,7,7.5,12,1,8,25
"628","SDP",1998,TRUE,13,14,5,29,28,5.5,17,15.5,19,15,23,19.5,17,3,25,30,12,4.5,23
"629","SEA",1998,FALSE,26,30,26.5,26,26,28,26,12,21,6,6,27,15,25,26,3,23.5,15,6
"630","SFG",1998,FALSE,23,17,10.5,15.5,16,18,15.5,6,8,26,28,30,1.5,9,13,16.5,13,19,13
"631","STL",1998,FALSE,17,20,5,6.5,7.5,15,15.5,14,28,21,30,25,23,13,7.5,16.5,16.5,25,16
"632","TBD",1998,FALSE,1,3,18.5,9.5,2.5,13,5,29,22.5,14,3,16,20,10,10.5,2,30,13,24
"633","TEX",1998,TRUE,29,28,10.5,9.5,13.5,30,23.5,19,10,8,7,23,17,27,21.5,20.5,8,26,10.5
"634","TOR",1998,FALSE,18,23.5,10.5,23,17,11,25,4,27,9,24,6,11.5,11,23.5,23,7,17,22
"635","ANA",1999,FALSE,4,3.5,11.5,2,3,4,1,7.5,12,12.5,3.5,3,8.5,12,2.5,10.5,19,10,20
"636","ARI",1999,TRUE,28,27,11.5,28.5,27,28,12,28,16,18,27,14.5,8.5,2.5,28,17.5,8.5,7.5,28
"637","ATL",1999,TRUE,16.5,18,2,28.5,28,14,25.5,10,8,24.5,30,9,19,1,7.5,21.5,1,6,29
"638","BAL",1999,FALSE,19,21,18,10,6.5,24,18,5.5,3,12.5,13.5,25,13,11,28,5,8.5,11,11.5
"639","BOS",1999,TRUE,15,22,6,26,29,17,29,25,4,5,6,21,27,6,7.5,28.5,18,1,30
"640","CHC",1999,FALSE,6,8,29,10,21,2,3,19,28,20,17.5,5,27,28,22,2.5,2,19,1
"641","CHW",1999,FALSE,9,13,25.5,6,10,26,17,22,1,11,2,10,13,23,7.5,13.5,24,25,18.5
"642","CIN",1999,FALSE,21,23,18,20.5,14.5,21,27,21,23,21,15,12,3,4.5,18.5,30,7,3,26
"643","CLE",1999,TRUE,30,28,18,25,18,23,25.5,17,22,16.5,22.5,24,27,21,7.5,23,16,21,22
"644","COL",1999,FALSE,27,29,30,16.5,2,30,23,23,2,16.5,10.5,7,4.5,30,7.5,5,22.5,30,11.5
"645","DET",1999,FALSE,7,19,25.5,10,13,6,13,18,17,7,1,1,16.5,24,16.5,7,28,17,6
"646","FLA",1999,FALSE,2,3.5,11.5,3.5,5,16,6,26.5,26,14,9,11,13,17,13,5,16,22,2
"647","HOU",1999,TRUE,14,8,1,30,30,3,14,10,25,27,29,28,1,2.5,30,25.5,5.5,5,27
"648","KCR",1999,FALSE,22,15,25.5,1,1,29,16,30,6,15,5,16,29,29,16.5,1,27,23,5
"649","LAD",1999,FALSE,11,8,18,20.5,19,12,2,10,14,24.5,13.5,17,13,9,22,10.5,25,15,11.5
"650","MIL",1999,FALSE,13,10.5,25.5,10,9,22,19,15.5,18,29.5,24,30,25,25,2.5,16,11.5,29,3
"651","MIN",1999,FALSE,1,1,25.5,3.5,22.5,8,10,15.5,10,2,7,4,6,19,25.5,8.5,3,9,21
"652","MON",1999,FALSE,5,12,6,16.5,20,10,28,29,7,23,19,2,13,18,22,20,22.5,16,9
"653","NYM",1999,TRUE,18,16.5,6,27,22.5,9,15,1,11,19,28,29,22,4.5,18.5,27,13,4,23
"654","NYY",1999,TRUE,26,24,6,24,24,13,20.5,20,9,1,25,26,4.5,7,28,28.5,20,7.5,25
"655","OAK",1999,FALSE,25,20,6,6,14.5,7,11,4,24,10,12,27,23,14.5,2.5,25.5,16,12,11.5
"656","PHI",1999,FALSE,16.5,14,25.5,14.5,11.5,19,20.5,26.5,20,22,16,22,19,14.5,13,2.5,21,18,15.5
