"","Team","Year","R.G","BA","OBP","SLG","OPS","OPS_plus","Playoffs","ERA","H9","HR9","BB9","SO9","SO.W","num_batters","Games_Played","PA","AB","H_own","B2","B3","HR_own","RBI","SB","CS","BB_own","SO_own","TB","GDP","HBP_own","SH","SF","IBB_own","LOB_own","num_pitchers","RA.G","CG","tSho","cSho","Saves","IP","R_allowed","ER","IBB_allowed","HBP_allowed","BK","WP","BF","ERA_plus","FIP","WHIP","LOB_allowed"
"493","ATL",1994,4.75,0.267,0.333,0.434,0.767,97,FALSE,3.57,8.1,0.7,3.3,7.6,2.29,0.271929824561404,1,38.1491228070175,33.8684210526316,9.04385964912281,1.73684210526316,0.157894736842105,1.20175438596491,4.47368421052632,0.421052631578947,0.271929824561404,3.30701754385965,5.85964912280702,14.7017543859649,0.912280701754386,0.192982456140351,0.526315789473684,0.254385964912281,0.342105263157895,6.67543859649123,0.114035087719298,0.0344736842105263,0.140350877192982,0.0701754385964912,0.0350877192982456,0.228070175438596,9.00087719298246,3.92982456140351,3.57017543859649,0.456140350877193,0.192982456140351,0.087719298245614,0.307017543859649,37.9122807017544,1.04385964912281,0.0314035087719298,0.0111666666666667,6.97368421052632
"494","BAL",1994,5.26,0.272,0.349,0.438,0.787,98,FALSE,4.31,9.1,1.2,3.2,6,1.9,0.285714285714286,1,39.1607142857143,34.4285714285714,9.34821428571429,1.65178571428571,0.178571428571429,1.24107142857143,4.97321428571429,0.616071428571429,0.116071428571429,3.91071428571429,5.84821428571429,15.0803571428571,0.794642857142857,0.348214285714286,0.142857142857143,0.3125,0.205357142857143,7.4375,0.133928571428571,0.0396428571428571,0.116071428571429,0.0357142857142857,0.0267857142857143,0.330357142857143,8.90357142857143,4.4375,4.26785714285714,0.223214285714286,0.232142857142857,0.00892857142857143,0.160714285714286,38.0803571428571,1.03571428571429,0.0414285714285714,0.0121339285714286,6.91964285714286
"495","BOS",1994,4.8,0.263,0.334,0.421,0.755,91,FALSE,4.93,9.7,1,3.9,6.4,1.62,0.391304347826087,1,38.6608695652174,34.2608695652174,9.02608695652174,1.9304347826087,0.165217391304348,1.04347826086957,4.54782608695652,0.704347826086957,0.330434782608696,3.51304347826087,6.28695652173913,14.4173913043478,0.756521739130435,0.269565217391304,0.330434782608696,0.28695652173913,0.347826086956522,7.12173913043478,0.2,0.0469565217391304,0.0521739130434783,0.0260869565217391,0.00869565217391304,0.260869565217391,8.94869565217391,5.4,4.90434782608696,0.4,0.269565217391304,0.0347826086956522,0.4,39.5913043478261,0.88695652173913,0.0402608695652174,0.0131304347826087,7.33913043478261
"496","CAL",1994,4.72,0.264,0.334,0.409,0.743,91,FALSE,5.42,10.1,1.3,3.8,6,1.56,0.321739130434783,1,38.6347826086957,34.2869565217391,9.06086956521739,1.54782608695652,0.139130434782609,1.04347826086957,4.50434782608696,0.565217391304348,0.469565217391304,3.49565217391304,6.21739130434783,14.0173913043478,0.730434782608696,0.234782608695652,0.365217391304348,0.252173913043478,0.208695652173913,6.97391304347826,0.156521739130435,0.0499130434782609,0.0956521739130435,0.0347826086956522,0.0260869565217391,0.182608695652174,8.9304347826087,5.73913043478261,5.37391304347826,0.243478260869565,0.391304347826087,0.0695652173913043,0.417391304347826,39.704347826087,0.782608695652174,0.0444347826086957,0.0134173913043478,7.17391304347826
"497","CHC",1994,4.42,0.259,0.325,0.404,0.729,90,FALSE,4.47,9.3,1.1,3.4,6.3,1.83,0.309734513274336,1,38.8141592920354,34.6725663716814,8.98230088495575,1.67256637168142,0.230088495575221,0.964601769911504,4.10619469026549,0.610619469026549,0.469026548672566,3.2212389380531,6.63716814159292,14.0088495575221,0.743362831858407,0.238938053097345,0.47787610619469,0.20353982300885,0.230088495575221,7.09734513274336,0.15929203539823,0.0430088495575221,0.0442477876106195,0.0442477876106195,0.00884955752212389,0.238938053097345,9.05486725663717,4.85840707964602,4.49557522123894,0.309734513274336,0.168141592920354,0.0530973451327434,0.36283185840708,39.0530973451327,0.831858407079646,0.0394690265486726,0.0125044247787611,7.01769911504425
"498","CHW",1994,5.6,0.287,0.366,0.444,0.81,110,FALSE,3.96,8.6,1,3.4,6.7,2,0.300884955752212,1,40.3185840707965,34.8849557522124,10.0265486725664,1.54867256637168,0.345132743362832,1.07079646017699,5.32743362831858,0.68141592920354,0.238938053097345,4.39823008849558,5.02654867256637,15.4778761061947,0.805309734513274,0.176991150442478,0.451327433628319,0.407079646017699,0.415929203539823,8.01769911504425,0.123893805309735,0.0390265486725664,0.115044247787611,0.079646017699115,0.0530973451327434,0.176991150442478,8.94778761061947,4.4070796460177,3.93805309734513,0.212389380530973,0.150442477876106,0.0265486725663717,0.168141592920354,38.141592920354,1.04424778761062,0.0379646017699115,0.0117345132743363,6.88495575221239
"499","CIN",1994,5.3,0.286,0.35,0.449,0.799,108,FALSE,3.78,9,1,2.9,6.9,2.36,0.304347826086957,1,39.2347826086957,34.7739130434783,9.9304347826087,1.83478260869565,0.31304347826087,1.07826086956522,4.94782608695652,1.03478260869565,0.443478260869565,3.37391304347826,6.41739130434783,15.6260869565217,0.721739130434783,0.252173913043478,0.460869565217391,0.365217391304348,0.443478260869565,7.09565217391304,0.139130434782609,0.0370434782608696,0.0521739130434783,0.0521739130434783,0.0173913043478261,0.234782608695652,9.02695652173913,4.26086956521739,3.79130434782609,0.2,0.234782608695652,0.0869565217391304,0.356521739130435,38.3565217391304,0.965217391304348,0.0357391304347826,0.0115217391304348,7.00869565217391
"500","CLE",1994,6.01,0.29,0.351,0.484,0.835,115,FALSE,4.36,9.7,0.8,3.6,5.9,1.65,0.353982300884956,1,39.7610619469027,35.5929203539823,10.3097345132743,2.12389380530973,0.176991150442478,1.47787610619469,5.72566371681416,1.15929203539823,0.424778761061947,3.38053097345133,5.56637168141593,17.2212389380531,0.707964601769911,0.15929203539823,0.292035398230089,0.336283185840708,0.353982300884956,6.74336283185841,0.185840707964602,0.0439823008849557,0.150442477876106,0.0442477876106195,0.0442477876106195,0.185840707964602,9.01061946902655,4.97345132743363,4.3716814159292,0.247787610619469,0.36283185840708,0.0530973451327434,0.513274336283186,39.716814159292,0.946902654867257,0.0383185840707965,0.0130353982300885,7.69911504424779
"501","COL",1994,4.9,0.274,0.337,0.439,0.776,88,FALSE,5.15,10.3,1,3.9,6.1,1.57,0.307692307692308,1,38.4017094017094,34.2393162393162,9.38461538461539,1.76068376068376,0.333333333333333,1.06837606837607,4.61538461538461,0.777777777777778,0.452991452991453,3.23076923076923,6.5042735042735,15.017094017094,0.82051282051282,0.196581196581197,0.427350427350427,0.307692307692308,0.282051282051282,6.88034188034188,0.153846153846154,0.0465811965811966,0.0341880341880342,0.0427350427350427,0.00854700854700855,0.239316239316239,8.81196581196581,5.45299145299145,5.04273504273504,0.367521367521368,0.418803418803419,0.094017094017094,0.427350427350427,39.6923076923077,0.829059829059829,0.0404273504273504,0.0135384615384615,7.8034188034188
"502","DET",1994,5.67,0.265,0.352,0.454,0.806,107,FALSE,5.38,10.1,1.3,4,5,1.25,0.31304347826087,1,39.7739130434783,34.3913043478261,9.11304347826087,1.87826086956522,0.217391304347826,1.4,5.40869565217391,0.4,0.28695652173913,4.52173913043478,7.8,15.6260869565217,0.747826086956522,0.295652173913043,0.147826086956522,0.417391304347826,0.243478260869565,7.40869565217391,0.156521739130435,0.050695652173913,0.130434782608696,0.00869565217391304,0.00869565217391304,0.173913043478261,8.85217391304348,5.83478260869565,5.29565217391304,0.643478260869565,0.217391304347826,0.0173913043478261,0.51304347826087,39.7565217391304,0.791304347826087,0.0462608695652174,0.0135652173913043,7.36521739130435
"503","FLA",1994,4.07,0.266,0.33,0.396,0.725,87,FALSE,4.5,9.5,1.1,3.8,5.8,1.52,0.365217391304348,1,38.1478260869565,34.1391304347826,9.0695652173913,1.56521739130435,0.208695652173913,0.817391304347826,3.92173913043478,0.565217391304348,0.226086956521739,3.03478260869565,6.48695652173913,13.504347826087,0.704347826086957,0.347826086956522,0.365217391304348,0.260869565217391,0.217391304347826,7.44347826086956,0.173913043478261,0.0435652173913043,0.0434782608695652,0.0608695652173913,0.0260869565217391,0.260869565217391,8.82608695652174,5.00869565217391,4.40869565217391,0.434782608695652,0.339130434782609,0.11304347826087,0.495652173913044,38.904347826087,0.843478260869565,0.0414782608695652,0.0128260869565217,7.41739130434783
"504","HOU",1994,5.23,0.278,0.347,0.445,0.792,110,FALSE,3.97,9.1,0.9,3.2,6.5,2.01,0.28695652173913,1,39.1304347826087,34.3913043478261,9.55652173913044,2.19130434782609,0.217391304347826,1.04347826086957,4.98260869565217,1.07826086956522,0.382608695652174,3.42608695652174,6.24347826086957,15.3130434782609,0.634782608695652,0.373913043478261,0.634782608695652,0.304347826086957,0.504347826086956,7.25217391304348,0.11304347826087,0.038,0.0782608695652174,0.0521739130434783,0.0260869565217391,0.252173913043478,8.9495652173913,4.37391304347826,3.94782608695652,0.295652173913043,0.295652173913043,0.0521739130434783,0.304347826086957,38.3652173913043,0.869565217391304,0.0360869565217391,0.011904347826087,7.1304347826087
"505","KCR",1994,4.99,0.269,0.335,0.419,0.754,91,FALSE,4.23,8.9,0.8,3.4,6.3,1.83,0.269565217391304,1,38.1826086956522,34.0086956521739,9.13913043478261,1.83478260869565,0.330434782608696,0.869565217391304,4.67826086956522,1.21739130434783,0.539130434782609,3.2695652173913,6.0695652173913,14.2434782608696,0.626086956521739,0.28695652173913,0.278260869565217,0.330434782608696,0.2,6.49565217391304,0.130434782608696,0.0402608695652174,0.0434782608695652,0.0521739130434783,0.0260869565217391,0.330434782608696,8.96695652173913,4.62608695652174,4.21739130434783,0.269565217391304,0.28695652173913,0.0434782608695652,0.521739130434783,38.504347826087,1.02608695652174,0.0362608695652174,0.0118869565217391,6.96521739130435
"506","LAD",1994,4.67,0.27,0.333,0.414,0.748,99,FALSE,4.17,9.2,0.8,3.1,6.5,2.07,0.307017543859649,1,38.3421052631579,34.2456140350877,9.25438596491228,1.40350877192982,0.254385964912281,1.00877192982456,4.42982456140351,0.649122807017544,0.324561403508772,3.21052631578947,6.02631578947368,14.1929824561404,0.780701754385965,0.166666666666667,0.447368421052632,0.271929824561404,0.289473684210526,6.92105263157895,0.140350877192982,0.0391228070175439,0.12280701754386,0.043859649122807,0.0350877192982456,0.175438596491228,8.89473684210526,4.46491228070175,4.12280701754386,0.315789473684211,0.289473684210526,0.0614035087719298,0.368421052631579,38.3245614035088,0.833333333333333,0.035,0.0120701754385965,7.17543859649123
"507","MIL",1994,4.76,0.263,0.335,0.408,0.742,88,FALSE,4.62,9.3,1.1,3.7,5,1.37,0.31304347826087,1,39.0782608695652,34.5913043478261,9.08695652173913,2.0695652173913,0.182608695652174,0.860869565217391,4.43478260869565,0.51304347826087,0.321739130434783,3.62608695652174,5.91304347826087,14.104347826087,0.739130434782609,0.28695652173913,0.243478260869565,0.330434782608696,0.260869565217391,7.16521739130435,0.130434782608696,0.0443478260869565,0.0956521739130435,0.0260869565217391,0.00869565217391304,0.2,9.00869565217391,5.09565217391304,4.62608695652174,0.243478260869565,0.252173913043478,0.0521739130434783,0.260869565217391,39.0695652173913,0.947826086956522,0.042695652173913,0.0125217391304348,6.94782608695652
"508","MIN",1994,5.26,0.276,0.34,0.427,0.767,97,FALSE,5.68,10.7,1.4,3.5,5.4,1.55,0.292035398230089,1,39.0176991150442,34.9734513274336,9.66371681415929,2.11504424778761,0.20353982300885,0.911504424778761,4.92035398230088,0.831858407079646,0.265486725663717,3.17699115044248,5.61946902654867,14.9203539823009,0.823008849557522,0.36283185840708,0.194690265486726,0.300884955752212,0.230088495575221,7.04424778761062,0.141592920353982,0.0538938053097345,0.0530973451327434,0.0353982300884956,0.0176991150442478,0.256637168141593,8.89380530973451,6.08849557522124,5.61061946902655,0.176991150442478,0.274336283185841,0.0353982300884956,0.380530973451327,39.8849557522124,0.761061946902655,0.0456637168141593,0.0139557522123894,7.11504424778761
"509","MON",1994,5.13,0.278,0.343,0.435,0.778,101,FALSE,3.56,8.4,0.9,2.5,7,2.8,0.280701754385965,1,39.5964912280702,35.0877192982456,9.74561403508772,2.15789473684211,0.263157894736842,0.947368421052632,4.75438596491228,1.20175438596491,0.315789473684211,3.32456140350877,5.86842105263158,15.2719298245614,0.675438596491228,0.350877192982456,0.464912280701754,0.368421052631579,0.342105263157895,7.53508771929825,0.140350877192982,0.0349122807017544,0.0350877192982456,0.0701754385964912,0.0175438596491228,0.403508771929825,9.08947368421053,3.98245614035088,3.59649122807018,0.245614035087719,0.333333333333333,0.0175438596491228,0.280701754385965,37.9736842105263,1.04385964912281,0.0331578947368421,0.0106491228070175,6.71052631578947
"510","NYM",1994,4.48,0.25,0.316,0.394,0.709,85,FALSE,4.13,9.4,1,2.9,5.6,1.93,0.327433628318584,1,38.4778761061947,34.2389380530973,8.54867256637168,1.45132743362832,0.185840707964602,1.0353982300885,4.2212389380531,0.221238938053097,0.230088495575221,2.97345132743363,7.14159292035398,13.4778761061947,0.619469026548673,0.460176991150442,0.52212389380531,0.274336283185841,0.353982300884956,6.73451327433628,0.15929203539823,0.0411504424778761,0.0619469026548673,0.0265486725663717,0.0176991150442478,0.309734513274336,9.05309734513274,4.65486725663717,4.15929203539823,0.424778761061947,0.185840707964602,0.0530973451327434,0.230088495575221,38.787610619469,0.893805309734513,0.0389380530973451,0.0121238938053097,6.97345132743363
"511","NYY",1994,5.93,0.29,0.374,0.462,0.836,119,FALSE,4.34,9.2,1.1,3.5,5.8,1.65,0.31858407079646,1,40.8053097345133,35.2743362831858,10.2212389380531,2.10619469026549,0.141592920353982,1.23008849557522,5.5929203539823,0.486725663716814,0.353982300884956,4.69026548672566,5.84070796460177,16.3008849557522,0.991150442477876,0.274336283185841,0.238938053097345,0.327433628318584,0.300884955752212,8.12389380530973,0.150442477876106,0.041858407079646,0.0707964601769911,0.0176991150442478,0,0.274336283185841,9.01946902654867,4.72566371681416,4.35398230088496,0.212389380530973,0.185840707964602,0.0353982300884956,0.407079646017699,38.9911504424779,0.938053097345133,0.0407964601769912,0.0125221238938053,7.19469026548673
"512","OAK",1994,4.82,0.26,0.33,0.399,0.73,95,FALSE,4.8,8.8,1.1,4.6,6.6,1.44,0.37719298245614,1,38.5614035087719,34.0789473684211,8.85087719298246,1.56140350877193,0.114035087719298,0.991228070175439,4.51754385964912,0.798245614035088,0.342105263157895,3.65789473684211,6.01754385964912,13.6140350877193,0.692982456140351,0.157894736842105,0.210526315789474,0.447368421052632,0.184210526315789,7.08771929824561,0.175438596491228,0.0453508771929825,0.105263157894737,0.0789473684210526,0.0263157894736842,0.201754385964912,8.79912280701754,5.16666666666667,4.69298245614035,0.263157894736842,0.298245614035088,0.105263157894737,0.368421052631579,38.7982456140351,0.807017543859649,0.0435087719298246,0.0130175438596491,7.2280701754386
"513","PHI",1994,4.53,0.262,0.332,0.39,0.722,86,FALSE,3.85,9,0.9,3.3,6.1,1.85,0.347826086956522,1,38.5739130434783,34.1478260869565,8.93913043478261,1.80869565217391,0.243478260869565,0.695652173913043,4.20869565217391,0.582608695652174,0.208695652173913,3.44347826086957,6.18260869565217,13.3217391304348,0.826086956521739,0.269565217391304,0.443478260869565,0.269565217391304,0.382608695652174,7.31304347826087,0.173913043478261,0.0375652173913043,0.0608695652173913,0.0521739130434783,0.00869565217391304,0.260869565217391,8.90521739130435,4.32173913043478,3.80869565217391,0.243478260869565,0.243478260869565,0.0521739130434783,0.391304347826087,38.5913043478261,0.973913043478261,0.0365217391304348,0.0119304347826087,7.54782608695652
"514","PIT",1994,4.09,0.259,0.322,0.384,0.706,83,FALSE,4.64,9.8,1,3.3,5.8,1.76,0.342105263157895,1,37.7280701754386,33.8947368421053,8.78070175438597,1.73684210526316,0.201754385964912,0.701754385964912,3.81578947368421,0.464912280701754,0.219298245614035,3.06140350877193,6.35964912280702,13.0263157894737,0.789473684210526,0.192982456140351,0.315789473684211,0.245614035087719,0.254385964912281,7.18421052631579,0.157894736842105,0.0446491228070175,0.0701754385964912,0.0175438596491228,0.0087719298245614,0.210526315789474,8.81754385964912,5.08771929824561,4.54385964912281,0.456140350877193,0.359649122807018,0.0964912280701754,0.210526315789474,38.5350877192982,0.815789473684211,0.0401754385964912,0.0127719298245614,6.98245614035088
"515","SDP",1994,4.09,0.275,0.33,0.401,0.731,92,FALSE,4.08,8.7,0.9,3.4,7.4,2.19,0.341880341880342,1,38.6239316239316,34.7692307692308,9.54700854700855,1.70940170940171,0.162393162393162,0.786324786324786,3.8034188034188,0.675213675213675,0.316239316239316,2.72649572649573,6.51282051282051,13.9401709401709,0.957264957264957,0.264957264957265,0.572649572649573,0.282051282051282,0.401709401709402,7.41025641025641,0.170940170940171,0.0388034188034188,0.0683760683760684,0.0512820512820513,0.0256410256410256,0.230769230769231,8.93333333333333,4.53846153846154,4.05128205128205,0.52991452991453,0.213675213675214,0.0427350427350427,0.41025641025641,38.4871794871795,0.871794871794872,0.0334188034188034,0.0114529914529915,7.13675213675214
"516","SEA",1994,5.08,0.269,0.335,0.451,0.786,100,FALSE,4.99,9.6,1,4.4,7,1.57,0.392857142857143,1,38.9375,34.6696428571429,9.33035714285714,1.88392857142857,0.160714285714286,1.36607142857143,4.90178571428571,0.428571428571429,0.1875,3.32142857142857,5.82142857142857,15.6339285714286,0.776785714285714,0.232142857142857,0.428571428571429,0.285714285714286,0.375,7,0.178571428571429,0.0491071428571429,0.116071428571429,0.0625,0.0357142857142857,0.1875,8.78571428571429,5.5,4.875,0.348214285714286,0.25,0.00892857142857143,0.366071428571429,39.3839285714286,0.866071428571429,0.0409821428571429,0.0139464285714286,7.52678571428571
"517","SFG",1994,4.38,0.249,0.318,0.402,0.72,92,FALSE,3.99,8.9,1.1,3.3,5.7,1.76,0.31304347826087,1,37.9478260869565,33.6434782608696,8.37391304347826,1.38260869565217,0.278260869565217,1.0695652173913,4.10434782608696,0.991304347826087,0.347826086956522,3.16521739130435,6.25217391304348,13.5217391304348,0.626086956521739,0.339130434782609,0.565217391304348,0.234782608695652,0.408695652173913,6.80869565217391,0.147826086956522,0.0378260869565217,0.0173913043478261,0.0347826086956522,0,0.28695652173913,8.91391304347826,4.34782608695652,3.94782608695652,0.347826086956522,0.321739130434783,0.0695652173913043,0.278260869565217,37.9913043478261,0.869565217391304,0.04,0.0117565217391304,6.89565217391304
"518","STL",1994,4.65,0.263,0.339,0.414,0.753,97,FALSE,5.14,10.2,1.2,3.1,5.6,1.78,0.321739130434783,1,38.695652173913,33.9304347826087,8.92173913043478,1.85217391304348,0.234782608695652,0.939130434782609,4.4,0.660869565217391,0.4,3.77391304347826,5.96521739130435,14.0608695652174,0.695652173913043,0.28695652173913,0.382608695652174,0.321739130434783,0.417391304347826,7.34782608695652,0.156521739130435,0.0469565217391304,0.0608695652173913,0.0608695652173913,0.0260869565217391,0.252173913043478,8.85217391304348,5.4,5.05217391304348,0.243478260869565,0.330434782608696,0.0434782608695652,0.347826086956522,38.8695652173913,0.704347826086957,0.0413913043478261,0.0128869565217391,6.91304347826087
"519","TEX",1994,5.38,0.28,0.353,0.436,0.79,104,FALSE,5.45,10.3,1.4,3.5,6,1.73,0.359649122807018,1,39.7456140350877,34.9385964912281,9.7719298245614,1.73684210526316,0.236842105263158,1.08771929824561,5.10526315789474,0.719298245614035,0.307017543859649,3.83333333333333,6.40350877192982,15.2456140350877,0.833333333333333,0.315789473684211,0.359649122807018,0.298245614035088,0.324561403508772,7.57017543859649,0.192982456140351,0.0535964912280702,0.087719298245614,0.0350877192982456,0.0263157894736842,0.228070175438596,8.97368421052632,6.1140350877193,5.43859649122807,0.254385964912281,0.280701754385965,0.043859649122807,0.43859649122807,40.3070175438597,0.780701754385965,0.0442105263157895,0.0134649122807018,7.2719298245614
"520","TOR",1994,4.92,0.269,0.336,0.424,0.76,95,FALSE,4.7,9.2,1.1,4.2,7.3,1.73,0.295652173913043,1,38.8,34.4521739130435,9.25217391304348,1.82608695652174,0.260869565217391,1,4.64347826086957,0.68695652173913,0.226086956521739,3.36521739130435,6.00869565217391,14.6,0.834782608695652,0.330434782608696,0.260869565217391,0.382608695652174,0.295652173913043,7.1304347826087,0.147826086956522,0.0437391304347826,0.11304347826087,0.0347826086956522,0.0347826086956522,0.226086956521739,8.91304347826087,5.03478260869565,4.65217391304348,0.2,0.278260869565217,0.0608695652173913,0.469565217391304,39.4434782608696,0.895652173913044,0.0401739130434783,0.0130260869565217,7.6695652173913
"521","ATL",1995,4.48,0.25,0.326,0.409,0.735,91,TRUE,3.44,8.2,0.7,3,7.6,2.49,0.277777777777778,1,37.9444444444444,33.4305555555556,8.34722222222222,1.45833333333333,0.1875,1.16666666666667,4.29166666666667,0.506944444444444,0.298611111111111,3.61111111111111,6.47916666666667,13.6805555555556,0.736111111111111,0.277777777777778,0.388888888888889,0.236111111111111,0.256944444444444,6.86111111111111,0.138888888888889,0.0260416666666667,0.125,0.0763888888888889,0.0416666666666667,0.236111111111111,8.96666666666667,3.75,3.43055555555556,0.319444444444444,0.222222222222222,0.0277777777777778,0.263888888888889,37.5694444444444,0.854166666666667,0.0248611111111111,0.00870833333333333,6.90972222222222
"522","BAL",1995,4.89,0.262,0.342,0.428,0.77,98,FALSE,4.31,8.3,1.1,3.7,6.6,1.78,0.319444444444444,1,38.4097222222222,33.5902777777778,8.79861111111111,1.59027777777778,0.1875,1.20138888888889,4.63888888888889,0.638888888888889,0.3125,3.98611111111111,5.57638888888889,14.3680555555556,0.826388888888889,0.270833333333333,0.277777777777778,0.284722222222222,0.25,7.09722222222222,0.159722222222222,0.0308333333333333,0.131944444444444,0.0694444444444444,0.0486111111111111,0.201388888888889,8.79861111111111,4.44444444444444,4.21527777777778,0.277777777777778,0.256944444444444,0.0625,0.208333333333333,37.375,0.770833333333333,0.0311805555555556,0.00925,6.53472222222222
"523","BOS",1995,5.49,0.28,0.357,0.455,0.812,108,TRUE,4.39,9.3,0.9,3.3,6.2,1.87,0.368055555555556,1,39.6944444444444,34.7013888888889,9.71527777777778,1.98611111111111,0.215277777777778,1.21527777777778,5.23611111111111,0.6875,0.305555555555556,3.88888888888889,6.40972222222222,15.7777777777778,0.895833333333333,0.451388888888889,0.3125,0.340277777777778,0.263888888888889,7.52777777777778,0.180555555555556,0.0336805555555556,0.0486111111111111,0.0625,0.0138888888888889,0.270833333333333,8.97361111111111,4.84722222222222,4.38194444444444,0.194444444444444,0.319444444444444,0.00694444444444444,0.395833333333333,38.8888888888889,0.770833333333333,0.0293055555555556,0.00974305555555556,7.11111111111111
"524","CAL",1995,5.52,0.277,0.352,0.448,0.8,108,FALSE,4.52,9.2,1.1,3.4,6.3,1.85,0.310344827586207,1,39.2413793103448,34.6137931034483,9.58620689655172,1.73793103448276,0.172413793103448,1.28275862068966,5.24827586206897,0.4,0.268965517241379,3.88965517241379,6.13103448275862,15.5172413793103,0.793103448275862,0.248275862068966,0.227586206896552,0.262068965517241,0.275862068965517,7.28275862068966,0.137931034482759,0.0331724137931034,0.0551724137931034,0.0620689655172414,0.0206896551724138,0.289655172413793,8.85586206896552,4.80689655172414,4.44827586206897,0.158620689655172,0.296551724137931,0.0689655172413793,0.289655172413793,38.4206896551724,0.717241379310345,0.0316551724137931,0.00964137931034483,7.04137931034483
"525","CHC",1995,4.81,0.265,0.327,0.43,0.757,101,FALSE,4.13,9.1,1.1,3.6,6.4,1.79,0.298611111111111,1,38.4930555555556,34.4652777777778,9.13194444444444,1.85416666666667,0.270833333333333,1.09722222222222,4.5,0.729166666666667,0.256944444444444,3.05555555555556,6.61805555555556,14.8194444444444,0.763888888888889,0.236111111111111,0.493055555555556,0.243055555555556,0.319444444444444,6.63888888888889,0.145833333333333,0.0323611111111111,0.0416666666666667,0.0833333333333333,0.0277777777777778,0.3125,9.03472222222222,4.65972222222222,4.14583333333333,0.472222222222222,0.236111111111111,0.0416666666666667,0.263888888888889,39.3333333333333,0.6875,0.0317361111111111,0.00977083333333333,7.56944444444444
"526","CHW",1995,5.21,0.28,0.354,0.431,0.785,107,FALSE,4.85,9.6,1.1,4.3,6.2,1.45,0.317241379310345,1,39.7931034482759,34.8965517241379,9.77241379310345,1.73793103448276,0.255172413793103,1.00689655172414,4.91034482758621,0.758620689655172,0.268965517241379,3.97241379310345,5.28965517241379,15.0413793103448,0.731034482758621,0.220689655172414,0.317241379310345,0.386206896551724,0.372413793103448,7.96551724137931,0.179310344827586,0.0360689655172414,0.0827586206896552,0.0275862068965517,0.0137931034482759,0.248275862068966,8.85655172413793,5.22758620689655,4.77931034482759,0.324137931034483,0.268965517241379,0.0551724137931034,0.310344827586207,39.5448275862069,0.641379310344828,0.0338620689655172,0.0106896551724138,7.73793103448276
"527","CIN",1995,5.19,0.27,0.342,0.44,0.782,106,TRUE,4.03,8.9,0.9,3,6.3,2.13,0.326388888888889,1,38.7152777777778,34.0486111111111,9.20833333333333,1.92361111111111,0.243055555555556,1.11805555555556,4.81944444444444,1.31944444444444,0.472222222222222,3.60416666666667,6.56944444444444,14.9722222222222,0.638888888888889,0.277777777777778,0.430555555555556,0.347222222222222,0.291666666666667,6.95138888888889,0.166666666666667,0.0300694444444444,0.0555555555555556,0.0694444444444444,0.0138888888888889,0.263888888888889,8.95208333333333,4.32638888888889,4.01388888888889,0.222222222222222,0.215277777777778,0.0694444444444444,0.402777777777778,37.8125,0.708333333333333,0.0283333333333333,0.009125,6.625
"528","CLE",1995,5.83,0.291,0.361,0.479,0.839,116,TRUE,3.83,8.7,0.9,3.1,6.4,2.08,0.284722222222222,1,39.4861111111111,34.9166666666667,10.1458333333333,1.9375,0.159722222222222,1.4375,5.57638888888889,0.916666666666667,0.368055555555556,3.76388888888889,5.31944444444444,16.7152777777778,0.888888888888889,0.243055555555556,0.215277777777778,0.333333333333333,0.277777777777778,7.06944444444444,0.138888888888889,0.0293055555555556,0.0694444444444444,0.0694444444444444,0.0277777777777778,0.347222222222222,9.03472222222222,4.21527777777778,3.84722222222222,0.111111111111111,0.3125,0.0347222222222222,0.333333333333333,38.2777777777778,0.854166666666667,0.0288888888888889,0.00910416666666667,6.95833333333333
"529","COL",1995,5.45,0.282,0.35,0.471,0.82,94,TRUE,4.97,10.1,1.1,3.6,6.2,1.74,0.284722222222222,1,39.2152777777778,34.6805555555556,9.76388888888889,1.79861111111111,0.298611111111111,1.38888888888889,5.20138888888889,0.868055555555556,0.409722222222222,3.36111111111111,6.54861111111111,16.3263888888889,0.819444444444444,0.388888888888889,0.569444444444444,0.215277777777778,0.326388888888889,7.0625,0.138888888888889,0.0377777777777778,0.00694444444444444,0.00694444444444444,0,0.298611111111111,8.94513888888889,5.4375,4.9375,0.215277777777778,0.284722222222222,0.0902777777777778,0.430555555555556,39.625,0.75,0.0320833333333333,0.0105347222222222,7.34722222222222
"530","DET",1995,4.54,0.247,0.327,0.404,0.731,90,FALSE,5.49,10.7,1.2,3.8,5.1,1.36,0.3125,1,38.4375,33.7847222222222,8.36111111111111,1.58333333333333,0.201388888888889,1.10416666666667,4.29861111111111,0.506944444444444,0.25,3.82638888888889,6.85416666666667,13.6597222222222,0.840277777777778,0.284722222222222,0.243055555555556,0.298611111111111,0.208333333333333,7.0625,0.152777777777778,0.0406944444444444,0.0347222222222222,0.0208333333333333,0.00694444444444444,0.263888888888889,8.85416666666667,5.86111111111111,5.40277777777778,0.548611111111111,0.3125,0.0486111111111111,0.465277777777778,40.0972222222222,0.611111111111111,0.0351388888888889,0.0111388888888889,7.67361111111111
